kelas,train,valid,test,total,persen
habis,234,23,12,269,2.20
hampir habis,2935,213,219,3367,27.60
meja,566,48,47,661,5.42
penuh,4405,348,382,5135,42.09
sedikit,2394,194,180,2768,22.69
